FILE_LOCK,AUTOCOMMIT,ACCESS_MODE_DATA,CIPHER,CACHE_TYPE,CACHE_SIZE,MV_STORE,ANALYZE_AUTO,DEFRAG_ALWAYS,IFEXISTS,FORBID_CREATION,IGNORE_UNKNOWN_SETTINGS,PAGE_SIZE,ANALYZE_SAMPLE,COMPRESS,OPTIMIZE_DISTINCT,time
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,3.61
1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,3.48
1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,86.58
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,33.81
0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,11.73
1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,11.61
1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,3.59
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,3.58
1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,19.99
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3.5
1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,3.68
0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,3.53
1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,19.68
1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,19.97
1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,3.78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.67
0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,3.5
0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,3.72
0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,3.57
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,11.65
0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,3.64
1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,19.98
0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,3.8
0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,3.66
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,11.61
1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,87.83
0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,11.67
0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,34.88
0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,3.46
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,3.63
1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,19.93
1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,3.47
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,3.67
1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,3.49
1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,11.68
1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,3.52
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,34.71
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3.73
1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,3.65
0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,19.67
0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,86.23
0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,3.66
1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,86.38
1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,34.69
1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3.81
1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,3.68
1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,11.73
1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,3.6
0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,19.96
1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3.5
